Country Name;Country Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Irán, República Islámica del;IRN;17.100;18.800;19.300;22.200;25.100;32.000;38.300;41.900;41.100;23.000;18.600;11.600;24.900;30.900;36.900;27.200;35.200;34.500;31.000;36.500;39.900;41.500;37.700;41.600;46.500;48.600;63.300;83.400;79.600;75.900;82.610;141.396;92.621;138.537;109.706;121.235;136.075;137.645;122.226;133.932;158.014.183.450.955;161.191.677.604.321;153.142.822.223.706;161.029;162.563.374.175.832;133.663;159.754;225.399.088;207.096;186.006
Bosnia y Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.100;4.300;4.768;4.530;4.394;4.570;;;;;1.004;1.359;157.354.975.701.333;106.006.567.164.179;750.069.402.985.075;552;420;81;;;;108
Grecia;GRC;34.100;39.800;44.500;48.500;38.000;42.600;50.600;49.400;55.600;57.300;50.300;49.700;53.900;58.800;71.600;77.000;75.800;78.600;79.200;80.100;79.600;69.800;79.200;86.200;86.600;89.200;92.400;94.200;90.700;94.100;108.584;125.269;113.247;114.100;137.676;130.515;133.226;137.697;128.287;112.671;136.382.257.932.753;125.477.119.829.729;111.870;103.800;134.160;124.014;128.454;135.281;144.040;151.848
Singapur;SGP;27.700;31.300;30.300;21.300;22.800;23.800;25.700;27.500;30.300;32.800;32.500;29.900;29.900;34.600;29.800;31.100;31.600;32.900;34.900;32.000;30.500;35.000;39.100;43.100;46.100;51.600;57.200;60.700;61.700;68.400;71.042;72.431;72.444;64.117;76.253;77.119;84.747;87.564;91.387;83.772;131.721.915.559.326;144.696.875.455.373;157.939.317.765.257;165239.07;183.398.557.600.256;181.563;207.203;203.615;208.787;215.014
Europa y Asia central (BIRF y la AIF);TEC;;;;;;;;;;;;;;;;;;;;;;;;1.061.500;961.000;898.200;771.400;691.600;583.200;660.600;677.777;725.169;713.991;759.539;827.774;856.265;931.341;1.002.485;1.109.461;1.114.171;128.997.522.735.896;143.723.938.610.583;152.451.982.022.895;167.154.250.323.624;1798548.52;1.898.797;1.954.498;2.078.621;2.173.188.545;2.262.668.332
Bélgica;BEL;40.800;40.700;41.000;40.400;37.300;36.100;39.900;42.800;46.000;48.000;47.800;43.000;40.400;39.100;40.400;43.200;45.300;45.900;51.200;59.700;66.500;70.000;77.100;109.100;118.700;141.200;164.700;182.700;213.000;233.300;225.906;178.331;133.682;132.779;154.218;151.939;158.016;173.818;179.019;249.997;127.677.532.209.862;131.577;132.099.342.541.943;130.230;13.297.652.964.928;141.116;147.324;145.540;140.674;137.206.817
Oriente Medio y Norte de África;MEA;157.700;174.900;184.900;201.500;232.400;242.100;284.900;311.300;341.300;341.700;353.100;361.800;357.800;389.900;394.100;382.900;389.900;381.200;406.400;414.200;415.100;385.000;441.300;467.800;491.800;483.000;519.600;545.200;535.600;571.700;613.217;665.244;621.484;683.657;701.240;590.992;648.841;707.006;680.702;1.003.079;126.772.228.423.836;129.281.915.016.265;135.369.409.193.799;1427157.5;150.106.114.161.639;1.561.886;1.691.849;1.780.821.468;181.240.975.353.017;1.765.481.272
Benin;BEN;1.400;1.300;1.000;1.100;1.000;1.100;1.200;1.100;1.100;1.200;1.100;1.600;2.000;2.000;2.000;2.100;2.700;2.600;2.600;1.100;500;1.200;1.100;1.300;1.300;1.300;1.500;1.500;1.500;1.500;1.518;716;;;;;;;;;125.545.454.545.455;1.381;1.381;1.728;648;1.209;10;;;
Canadá;CAN;305.200;292.500;291.400;348.900;371.900;363.800;352.900;348.000;349.200;357.700;382.000;383.600;344.000;325.300;343.600;351.900;343.000;333.800;380.900;370.200;346.800;257.800;258.700;243.700;253.500;282.800;305.800;310.800;317.800;319.600;963.468;982.013;263.906;1.036.092;988.755;1.018.480;1.042.100;1.188.947;1.200.361;1.198.381;123.452.861.925.597;124.574.361.579.713;128.019.818.557.714;126.329.733.686.341;1.290.419;1.322.033;1.359.442;1.443.818;1.250.460;1.215.983
Estonia;EST;;;;;;;;;;;;;;;;;;;;;;;5.500;5.700;5.700;6.500;5.100;7.800;11.400;10.600;9.199;9.133;8.324;8.522;7.814;8.350;8.183;9.214;11.478;8.592;122.079.705.512.659;13.492;26.778;13.356;13.524;13.954;16.179;528;1.583;22
